num,id,store,business,address,x,y,url
1,2076936417,한림 작은영화관,문화시설,제주특별자치도 제주시 한림읍 한림중앙로 71-9,126.2680786,33.40875758,http://place.map.kakao.com/2076936417
2,1003470308,숏트롱시네마,문화시설,제주특별자치도 제주시 애월읍 신엄로 51,126.3641732,33.47514847,http://place.map.kakao.com/1003470308
3,17574886,제주공룡랜드 3D입체영화관,문화시설,제주특별자치도 제주시 애월읍 광령평화2길 1,126.4341111,33.44070585,http://place.map.kakao.com/17574886
4,1410146337,제주자동차극장,문화시설,제주특별자치도 제주시 도공로 136,126.4672022,33.49579916,http://place.map.kakao.com/1410146337
5,637234203,CGV 제주노형,문화시설,제주특별자치도 제주시 노형로 407,126.4783113,33.48583516,http://place.map.kakao.com/637234203
6,854891340,롯데시네마 제주연동점,문화시설,제주특별자치도 제주시 과원로 128,126.4947365,33.4807443,http://place.map.kakao.com/854891340
7,15845048,롯데시네마 서귀포,문화시설,제주특별자치도 서귀포시 월드컵로 33,126.5081213,33.24654337,http://place.map.kakao.com/15845048
8,14661797,팝스DVD영화관 제주점,문화시설,제주특별자치도 제주시 광양10길 3,126.5296361,33.49920746,http://place.map.kakao.com/14661797
9,8554017,CGV 제주,문화시설,제주특별자치도 제주시 서광로 288,126.5272961,33.50008572,http://place.map.kakao.com/8554017
10,1751474324,롯데시네마 제주아라,문화시설,제주특별자치도 제주시 구산로 4,126.5359082,33.48382467,http://place.map.kakao.com/1751474324
11,455167287,롯데시네마 제주삼화지구,문화시설,제주특별자치도 제주시 삼봉로 11,126.5882003,33.52045282,http://place.map.kakao.com/455167287
